white,black,trials,equity,sw,sl,gw,gl,bw,bl
h60-50m0.0005-b10-1.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.111, 35939, 40832, 9523, 12204, 618, 884
h60-50m0.0005-b10-1.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.106, 36008, 40674, 9579, 12163, 659, 917
h60-50m0.0005-b10-2.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0891, 35988, 39008, 10498, 12391, 706, 1409
h60-50m0.0005-b10-3.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0729, 35968, 38691, 10845, 12839, 732, 925
h60-50m0.0005-b10-4.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0328, 36001, 38964, 11669, 11685, 793, 888
h60-50m0.0005-b10-5.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.026, 36825, 38824, 11323, 11486, 725, 817
h60-50m0.0005-b10-6.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.00999, 37253, 39271, 11173, 10926, 776, 601
h60-50m0.0005-b10-7.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.014, 37540, 38883, 10942, 11239, 788, 608
h60-50m0.0005-b10-8.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.00862, 37461, 38936, 11180, 11010, 752, 661
h60-50m0.0005-b10-9.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0012, 37423, 38563, 11499, 11133, 779, 603
h60-50m0.0005-b10-10.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0161, 37512, 38279, 11833, 11027, 802, 547
h60-50m0.0005-b10-11.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00931, 38390, 39296, 10802, 10251, 753, 508
h60-50m0.0005-b10-12.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0119, 37345, 38345, 11879, 10989, 789, 653
h60-50m0.0005-b10-13.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0183, 37335, 39012, 11812, 10566, 807, 468
h60-50m0.0005-b10-14.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0115, 37538, 38905, 11525, 10724, 807, 501
h60-50m0.0005-b10-15.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0361, 37914, 38420, 11960, 10434, 814, 458
h60-50m0.0005-b10-16.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0193, 37395, 38770, 11909, 10649, 769, 508
h60-50m0.0005-b10-17.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0249, 36750, 38306, 12543, 10975, 864, 562
h60-50m0.0005-b10-18.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0327, 37802, 38754, 11937, 10252, 770, 485
h60-50m0.0005-b10-19.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0354, 37909, 38076, 12076, 10648, 788, 503
h60-50m0.0005-b10-20.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0314, 38108, 38419, 11784, 10484, 745, 460
h60-50m0.0005-b10-21.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0379, 37377, 38263, 12442, 10582, 828, 508
h60-50m0.0005-b10-22.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.031, 37403, 38913, 12083, 10293, 826, 482
h60-50m0.0005-b10-23.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.035, 36689, 38746, 12750, 10410, 848, 557
h60-50m0.0005-b10-24.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0357, 38047, 38498, 11805, 10310, 841, 499
h60-50m0.0005-b10-25.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0379, 37760, 37969, 12300, 10705, 768, 498
