white,black,trials,equity,sw,sl,gw,gl,bw,bl
h60-001A-85L-49.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0618, 36816, 37140, 13767, 10835, 827, 615
h60-001A-85L-50.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0382, 38595, 38203, 11590, 10468, 770, 374
h60-001A-85L-51.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0205, 37459, 39567, 11790, 10053, 680, 451
h60-001A-85L-52.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0581, 38778, 37565, 12084, 10325, 804, 444
h60-001A-85L-53.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.057, 37566, 37663, 12994, 10485, 776, 516
h60-001A-85L-54.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0511, 36001, 38815, 13655, 10186, 836, 507
h60-001A-85L-55.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0517, 37395, 37229, 12964, 11012, 884, 516
h60-001A-85L-56.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0415, 36478, 38665, 13204, 10475, 736, 442
h60-001A-85L-57.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0454, 37085, 37493, 13069, 11079, 798, 476
h60-001A-85L-58.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0498, 38066, 36527, 12644, 11409, 839, 515
h60-001A-85L-59.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0422, 37456, 36770, 12942, 11554, 765, 513
h60-001A-85L-60.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0601, 37322, 37822, 13188, 10335, 801, 532
h60-001A-85L-61.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0578, 37958, 37384, 12771, 10482, 807, 598
h60-001A-85L-62.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0446, 37788, 37892, 12384, 10631, 829, 476
h60-001A-85L-63.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0457, 37191, 37651, 13008, 10848, 770, 532
h60-001A-85L-64.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0525, 38272, 37605, 12398, 10449, 753, 523
h60-001A-85L-65.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0256, 37844, 39255, 11715, 10101, 667, 418
h60-001A-85L-66.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0545, 38052, 37484, 12582, 10614, 791, 477

h60-001A-85L-67.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0635, 36851, 37902, 13578, 10309, 824, 536
h60-001A-85L-68.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0491, 36765, 37657, 13329, 10851, 840, 558
h60-001A-85L-69.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0529, 37357, 38653, 12770, 9985, 787, 448
h60-001A-85L-70.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0564, 37732, 37010, 12974, 10892, 821, 571
h60-001A-85L-71.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0569, 38129, 37918, 12503, 10225, 767, 458
h60-001A-85L-72.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0518, 37226, 37929, 12954, 10467, 863, 561
h60-001A-85L-73.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.059, 37827, 38316, 12697, 9971, 751, 438
h60-001A-85L-74.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0558, 38393, 37591, 12385, 10409, 748, 474
h60-001A-85L-75.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0556, 37626, 37459, 12922, 10664, 811, 518
h60-001A-85L-76.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0566, 36549, 37566, 13735, 10808, 808, 534
h60-001A-85L-77.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0585, 38313, 37959, 12326, 10182, 811, 409
h60-001A-85L-78.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0506, 38185, 37639, 12320, 10581, 810, 465
h60-001A-85L-79.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0537, 38252, 38032, 12360, 10075, 738, 543
h60-001A-85L-80.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0603, 37208, 37657, 13290, 10552, 814, 479
h60-001A-85L-81.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0486, 38045, 38254, 12317, 10205, 731, 448
h60-001A-85L-82.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.052, 38244, 36757, 12576, 11142, 781, 500
h60-001A-85L-83.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0542, 37967, 37395, 12637, 10735, 807, 459
h60-001A-85L-84.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0471, 37782, 38410, 12426, 10166, 744, 472
h60-001A-85L-85.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0576, 37213, 38170, 13080, 10287, 813, 437
h60-001A-85L-86.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0412, 37638, 37741, 12576, 10779, 738, 528
h60-001A-85L-87.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0575, 38320, 38090, 12283, 9990, 814, 503
h60-001A-85L-88.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0583, 37836, 38048, 12780, 10082, 734, 520
h60-001A-85L-89.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0502, 36324, 38996, 13366, 10093, 802, 419
h60-001A-85L-90.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.053, 37395, 37891, 12858, 10584, 844, 428
h60-001A-85L-91.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0613, 38607, 37303, 12375, 10528, 782, 405
h60-001A-85L-92.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0592, 37832, 37810, 12796, 10308, 780, 474
h60-001A-85L-93.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0379, 38048, 38745, 11918, 10103, 735, 451
h60-001A-85L-94.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0466, 37677, 38674, 12472, 10072, 695, 410
h60-001A-85L-95.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0642, 38203, 37784, 12522, 10273, 859, 359
h60-001A-85L-96.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0526, 38017, 38648, 12328, 9818, 740, 449
h60-001A-85L-97.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0634, 37847, 37827, 12892, 10228, 769, 437
h60-001A-85L-98.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0616, 37942, 37862, 12596, 10301, 897, 402
h60-001A-85L-99.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0591, 38211, 38040, 12506, 10082, 729, 432
h60-001A-85L-100.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0621, 36448, 37303, 13948, 10919, 858, 524
h60-001A-85L-101.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0535, 39130, 38504, 11518, 9686, 757, 405
h60-001A-85L-102.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0563, 37714, 38130, 12726, 10214, 779, 437
h60-001A-85L-103.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0663, 37716, 37399, 13139, 10396, 813, 537
h60-001A-85L-104.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0559, 38662, 38458, 11982, 9853, 710, 335
h60-001A-85L-105.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.059, 38842, 37812, 12130, 10075, 697, 444
h60-001A-85L-106.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0558, 37523, 38218, 12821, 10221, 788, 429
h60-001A-85L-107.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0603, 38452, 37853, 12255, 10122, 853, 465
h60-001A-85L-108.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0653, 38746, 37717, 12361, 10047, 710, 419
h60-001A-85L-109.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0619, 37927, 38573, 12577, 9700, 792, 431
