white,black,trials,equity,sw,sl,gw,gl,bw,bl
h90-a-1.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0327, 35904, 40497, 11328, 10769, 785, 717
h90-a-2.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0467, 38793, 40523, 9025, 10469, 586, 604
h90-a-3.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0419, 37278, 40752, 10185, 10092, 696, 997
h90-a-4.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0154, 35690, 38848, 12549, 10923, 723, 1267
h90-a-5.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.00907, 37143, 38816, 11605, 10910, 659, 867
h90-a-6.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.01, 38945, 39685, 10443, 9602, 673, 652
h90-a-7.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0137, 36180, 41181, 11498, 9710, 724, 707
h90-a-8.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0229, 35029, 38318, 13881, 11042, 848, 882
h90-a-9.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00275, 38170, 39370, 11006, 10255, 595, 604
h90-a-10.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0168, 36296, 37783, 13051, 11274, 733, 863
h90-a-11.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00772, 37921, 38448, 11415, 10803, 719, 694
h90-a-12.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0267, 37579, 37932, 12278, 10737, 727, 747
h90-a-13.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0198, 36298, 38699, 12833, 10702, 754, 714
h90-a-14.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0186, 36193, 38730, 12868, 10705, 764, 740
h90-a-15.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0184, 36711, 38624, 12452, 10672, 802, 739
h90-a-16.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0008, 37769, 39212, 11172, 10556, 694, 597
h90-a-17.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0203, 35637, 38585, 13301, 11019, 798, 660
h90-a-18.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0218, 35667, 38663, 13295, 10864, 808, 703
h90-a-19.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0115, 36731, 38951, 12281, 10669, 708, 660
h90-a-20.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00685, 35781, 39409, 12810, 10565, 688, 747
h90-a-21.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00524, 36744, 38936, 12238, 10712, 629, 741
h90-a-22.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0404, 37827, 37999, 12386, 10381, 738, 669
h90-a-23.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0174, 36894, 38008, 12621, 11073, 661, 743
h90-a-24.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0281, 36564, 38257, 12935, 10895, 745, 604
h90-a-25.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0512, 37250, 36386, 13343, 11489, 858, 674
h90-a-26.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0223, 37656, 38704, 11916, 10428, 698, 598
h90-a-27.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0407, 36971, 38401, 12909, 10343, 750, 626
h90-a-28.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.033, 36511, 39362, 12788, 10063, 754, 522
h90-a-29.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.041, 35969, 38129, 13693, 10751, 791, 667
h90-a-30.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0239, 37473, 37908, 12289, 10876, 727, 727
h90-a-31.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0417, 37421, 37901, 12702, 10692, 747, 537
h90-a-32.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0377, 36639, 38227, 13126, 10762, 728, 518
h90-a-33.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0331, 36791, 37331, 13295, 11222, 631, 730
h90-a-34.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0395, 36797, 37197, 13378, 11378, 683, 567
h90-a-35.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0339, 36193, 37812, 13461, 11000, 781, 753
h90-a-36.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0466, 37503, 36745, 13069, 11350, 743, 590
h90-a-37.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0375, 37024, 37874, 12982, 10683, 719, 718
h90-a-38.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0456, 37133, 36837, 13305, 11237, 766, 722
h90-a-39.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0305, 37199, 38214, 12550, 10885, 698, 454
h90-a-40.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0537, 37579, 37818, 12977, 10316, 703, 607
h90-a-41.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.039, 37148, 37392, 12948, 11105, 780, 627
