white,black,trials,equity,sw,sl,gw,gl,bw,bl
h60-a-1.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0563, 36892, 40109, 10246, 11001, 725, 1027
h60-a-2.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0536, 38668, 40798, 8761, 10442, 688, 643
h60-a-3.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0409, 39058, 40968, 8893, 9787, 581, 713
h60-a-4.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0338, 35212, 40832, 11768, 10392, 813, 983
h60-a-5.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0411, 38012, 40111, 9815, 10889, 609, 564
h60-a-6.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0295, 35672, 39957, 11751, 10919, 796, 905
h60-a-7.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.032, 36458, 39738, 11270, 11174, 662, 698
h60-a-8.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0473, 33859, 39857, 12698, 12024, 768, 794
h60-a-9.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.00926, 37675, 38765, 10977, 11201, 793, 589
h60-a-10.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0201, 37621, 39475, 10606, 10979, 758, 561
h60-a-11.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.00432, 37816, 38830, 11081, 10877, 727, 669
h60-a-12.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0152, 36169, 39696, 11852, 10867, 714, 702
h60-a-13.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.021, 37817, 39543, 10623, 10677, 625, 715
h60-a-14.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0323, 38418, 38736, 10063, 11381, 655, 747
h60-a-15.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.00051, 35278, 38977, 12906, 11259, 849, 731
h60-a-16.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.00289, 35567, 39895, 12523, 10646, 732, 637
h60-a-17.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0103, 37893, 39492, 11234, 10109, 700, 572
h60-a-18.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0142, 37186, 39407, 11277, 10752, 647, 731
h60-a-19.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00149, 37126, 38081, 11980, 11389, 699, 725
h60-a-20.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.005, 36284, 39350, 12473, 10543, 626, 724
h60-a-21.w, /Users/todd/src/backgammon/nets/drc.w, 100000, -0.0048, 37340, 39296, 11367, 10707, 671, 619
h60-a-22.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00945, 35776, 39377, 12969, 10546, 616, 716
h60-a-23.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00356, 36743, 39779, 11989, 10227, 609, 653
h60-a-24.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.00948, 38316, 39150, 10999, 10309, 680, 546
h60-a-25.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0038, 36069, 39482, 12501, 10657, 663, 628
