white,black,trials,equity,sw,sl,gw,gl,bw,bl
h90-200m-1.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.116, 36345, 41156, 9087, 11366, 658, 1388
h90-200m-2.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0656, 36420, 39310, 10627, 11867, 690, 1086
h90-200m-3.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0448, 35680, 40969, 11084, 10771, 779, 717
h90-200m-4.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.03, 36427, 40216, 11071, 10800, 785, 701
h90-200m-5.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.011, 36977, 38863, 11403, 11121, 855, 781
h90-200m-6.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.0288, 37117, 39639, 10769, 11041, 748, 686
h90-200m-7.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00773, 36816, 39529, 11466, 10685, 815, 689
h90-200m-8.w, /home/todd/src/backgammon/nets/drc.w, 100000, -0.00607, 38261, 39241, 10700, 10527, 640, 631
h90-200m-9.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00888, 37549, 38812, 11526, 10752, 781, 580
h90-200m-10.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00529, 37277, 38370, 11758, 11121, 795, 679
h90-200m-11.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0179, 37217, 39364, 11777, 10160, 858, 624
h90-200m-12.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.00204, 37724, 39382, 11085, 10475, 774, 560
h90-200m-13.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0218, 36669, 38903, 12512, 10434, 784, 698
h90-200m-14.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0202, 35048, 38271, 13695, 11307, 917, 762
h90-200m-15.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0191, 37695, 38460, 11881, 10536, 711, 717
h90-200m-16.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0281, 36354, 38049, 13051, 11067, 829, 650
h90-200m-17.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0395, 36681, 37614, 13017, 11070, 974, 644
h90-200m-18.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0189, 37151, 38398, 12181, 10977, 768, 525
h90-200m-19.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0416, 38448, 38169, 11791, 10334, 790, 468
h90-200m-20.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0433, 36972, 38085, 12895, 10531, 878, 639
h90-200m-21.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.042, 35582, 38623, 13804, 10496, 852, 643
h90-200m-22.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0262, 36988, 38915, 12285, 10551, 811, 450
h90-200m-23.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0545, 36705, 37709, 13401, 10683, 920, 582
h90-200m-24.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0425, 37159, 38350, 12670, 10513, 842, 466
h90-200m-25.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0345, 37636, 38150, 12245, 10706, 780, 483
h90-200m-26.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0309, 36375, 38396, 12945, 10956, 853, 475
h90-200m-27.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0444, 35560, 38581, 13841, 10561, 879, 578
h90-200m-28.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0433, 37456, 38352, 12544, 10493, 765, 390
h90-200m-29.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.05, 35985, 37467, 13980, 11151, 845, 572
h90-200m-30.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0658, 36450, 37108, 14120, 10927, 840, 555
h90-200m-31.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0535, 36873, 37705, 13348, 10641, 845, 588
h90-200m-32.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0569, 38150, 37908, 12424, 10237, 819, 462
h90-200m-33.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0636, 36799, 37266, 13806, 10835, 795, 499
h90-200m-34.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0499, 36943, 38476, 13096, 10267, 753, 465
h90-200m-35.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0601, 35860, 37570, 14174, 11006, 926, 464
h90-200m-36.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0579, 37542, 37503, 13035, 10675, 794, 451
h90-200m-37.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.073, 37396, 37885, 13388, 10017, 831, 483
h90-200m-38.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0555, 37621, 37554, 12970, 10639, 745, 471
h90-200m-39.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0671, 36844, 37501, 13735, 10602, 843, 475
h90-200m-40.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.068, 37051, 37895, 13528, 10213, 825, 488
h90-200m-41.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0685, 36670, 38045, 13794, 10207, 818, 466
h90-200m-42.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0659, 37253, 37176, 13425, 10720, 897, 529
h90-200m-43.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0783, 37619, 37045, 13468, 10503, 903, 462
h90-200m-44.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0717, 36599, 37739, 13921, 10421, 878, 442
h90-200m-45.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0642, 36751, 37419, 13841, 10683, 782, 524
h90-200m-46.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0599, 36526, 36552, 14052, 11396, 854, 620
h90-200m-47.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0632, 36617, 37720, 13767, 10577, 834, 485
h90-200m-48.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0735, 37546, 37497, 13349, 10294, 855, 459
h90-200m-49.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0713, 36236, 37938, 14157, 10254, 878, 537
h90-200m-50.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0828, 36534, 37166, 14460, 10516, 833, 491
h90-200m-51.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0715, 37880, 37217, 13228, 10409, 775, 491
h90-200m-52.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0677, 37098, 37463, 13593, 10546, 823, 477
h90-200m-53.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0724, 36693, 38066, 13792, 10112, 877, 460
h90-200m-54.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0732, 36832, 37499, 13860, 10417, 880, 512
h90-200m-55.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0745, 38961, 37697, 12313, 9836, 802, 391
h90-200m-56.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0721, 37076, 37757, 13562, 10340, 873, 392
h90-200m-57.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0652, 36476, 38076, 13855, 10302, 814, 477
h90-200m-58.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.07, 37936, 37122, 13022, 10588, 885, 447
h90-200m-59.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0676, 37111, 37907, 13523, 10246, 774, 439
h90-200m-60.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0705, 37646, 37676, 13214, 10256, 798, 410
h90-200m-61.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0784, 37851, 37495, 13322, 10067, 794, 471
h90-200m-62.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0782, 37590, 37977, 13376, 9915, 785, 357
h90-200m-63.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0705, 37019, 37054, 13797, 10813, 844, 473
h90-200m-64.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0865, 36835, 37286, 14255, 10332, 855, 437
h90-200m-65.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0682, 38910, 37509, 12320, 10098, 744, 419
h90-200m-66.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0688, 37166, 38312, 13419, 9951, 758, 394
h90-200m-67.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0707, 36994, 36766, 13899, 11016, 842, 483
h90-200m-68.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0811, 37281, 37393, 13853, 10235, 784, 454
h90-200m-69.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0777, 37879, 37583, 13292, 10050, 763, 433
h90-200m-70.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.078, 37541, 36774, 13637, 10715, 864, 469

h90-200m-71.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0663, 36165, 37583, 14285, 10720, 777, 470
h90-200m-72.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0737, 37172, 38266, 13464, 9849, 831, 418
h90-200m-73.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0748, 37148, 37884, 13748, 10018, 727, 475
h90-200m-74.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.094, 38045, 36553, 13759, 10352, 827, 464
h90-200m-75.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0765, 36532, 37110, 14364, 10728, 792, 474
h90-200m-76.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0808, 37336, 37733, 13672, 10017, 815, 427
h90-200m-77.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0774, 37938, 37384, 13257, 10240, 782, 399
h90-200m-78.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0723, 38074, 37381, 13029, 10267, 793, 456
h90-200m-79.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.096, 37739, 37512, 13807, 9729, 810, 403
h90-200m-80.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0816, 37388, 37070, 13822, 10434, 820, 466
h90-200m-81.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0745, 38357, 37064, 12884, 10499, 829, 367
h90-200m-82.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0767, 37365, 37036, 13772, 10631, 774, 422
h90-200m-83.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.083, 37874, 37459, 13457, 10039, 761, 410
h90-200m-84.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0827, 36756, 37038, 14409, 10566, 760, 471
h90-200m-85.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.081, 36933, 37269, 14020, 10407, 887, 484
h90-200m-86.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0807, 37035, 36815, 14095, 10717, 851, 487
h90-200m-87.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0807, 36803, 37464, 14091, 10423, 842, 377
h90-200m-88.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0778, 37383, 37939, 13512, 9959, 809, 398
h90-200m-89.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0823, 37595, 37192, 13680, 10316, 791, 426
h90-200m-90.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0868, 36471, 37231, 14554, 10405, 860, 479
h90-200m-91.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0878, 38024, 36811, 13575, 10337, 809, 444
h90-200m-92.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0864, 37785, 36657, 13677, 10577, 871, 433
h90-200m-93.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0857, 37255, 37286, 13949, 10220, 835, 455
h90-200m-94.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0811, 37322, 37352, 13757, 10332, 833, 404
h90-200m-95.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0852, 37918, 37510, 13405, 9994, 801, 372
h90-200m-96.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0968, 37792, 37156, 13773, 9950, 898, 431
h90-200m-97.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0848, 38442, 37223, 13081, 10031, 805, 418
h90-200m-98.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0814, 36975, 37417, 14021, 10241, 844, 502
h90-200m-99.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0864, 36854, 37385, 14185, 10193, 889, 494
h90-200m-100.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0946, 37303, 36679, 14251, 10426, 868, 473
h90-200m-101.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0882, 37826, 37036, 13733, 10179, 767, 459
h90-200m-102.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0889, 38137, 37282, 13426, 9985, 777, 393
h90-200m-103.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0787, 38143, 37392, 13195, 10163, 730, 377
h90-200m-104.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0944, 37578, 37079, 14002, 10080, 814, 447
h90-200m-105.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0972, 37223, 37270, 14231, 9946, 865, 465
h90-200m-106.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0808, 37774, 37587, 13358, 10073, 825, 383
h90-200m-107.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0832, 37140, 37250, 14081, 10300, 759, 470
h90-200m-108.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0866, 37122, 37170, 14201, 10286, 757, 464
h90-200m-109.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0854, 38231, 36938, 13357, 10223, 789, 462
h90-200m-110.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0973, 38224, 36861, 13575, 10105, 855, 380
h90-200m-111.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0876, 37800, 37474, 13519, 9948, 844, 415
h90-200m-112.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.101, 37852, 36738, 13961, 10197, 862, 390
h90-200m-113.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0954, 37538, 37436, 13915, 9867, 846, 398
h90-200m-114.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0913, 37642, 37031, 13889, 10179, 812, 447
h90-200m-115.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0879, 37499, 37141, 13889, 10192, 813, 466
h90-200m-116.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0812, 37189, 36800, 13996, 10694, 849, 472
h90-200m-117.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0944, 37984, 36898, 13699, 10191, 837, 391
h90-200m-118.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0992, 37621, 36955, 14134, 10032, 804, 454
h90-200m-119.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0947, 37985, 37271, 13641, 9875, 818, 410
h90-200m-120.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0905, 38339, 37067, 13282, 10064, 848, 400
h90-200m-121.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0967, 36986, 37083, 14504, 10152, 814, 461
h90-200m-122.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0956, 38543, 36999, 13310, 9933, 818, 397
h90-200m-123.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0942, 38187, 37271, 13416, 9868, 864, 394
h90-200m-124.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0909, 37546, 37040, 13845, 10282, 886, 401
h90-200m-125.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0892, 37853, 36392, 13887, 10649, 773, 446
h90-200m-126.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.094, 38357, 36534, 13523, 10329, 827, 430
h90-200m-127.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.089, 37311, 37094, 14087, 10297, 790, 421
h90-200m-128.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.101, 37591, 36806, 14168, 10214, 840, 381
h90-200m-129.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0937, 38137, 36776, 13687, 10242, 765, 393
h90-200m-130.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0934, 37618, 36527, 14014, 10499, 874, 468
h90-200m-131.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0958, 37622, 37169, 13935, 10030, 841, 403
h90-200m-132.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.092, 37429, 36661, 14137, 10490, 831, 452
h90-200m-133.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0959, 37819, 36857, 13930, 10179, 796, 419
h90-200m-134.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0891, 37611, 37144, 13835, 10161, 807, 442
h90-200m-135.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.102, 37588, 36846, 14131, 10088, 901, 446
h90-200m-136.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0965, 37772, 36740, 13983, 10215, 826, 464
h90-200m-137.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0975, 37775, 37165, 13837, 9908, 871, 444
h90-200m-138.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.104, 37009, 36558, 14668, 10334, 924, 507
h90-200m-139.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0895, 37791, 36988, 13739, 10220, 815, 447
h90-200m-140.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0938, 38162, 36721, 13692, 10253, 763, 409
h90-200m-141.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0928, 37931, 36736, 13760, 10338, 825, 410
h90-200m-142.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.1, 38492, 36977, 13448, 9898, 826, 359
h90-200m-143.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0933, 37749, 37294, 13720, 9942, 867, 428
h90-200m-144.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0874, 36936, 36824, 14343, 10555, 847, 495
h90-200m-145.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0968, 37591, 37196, 14046, 9898, 800, 469
h90-200m-146.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0968, 37745, 36750, 13997, 10236, 830, 442
h90-200m-147.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.102, 37938, 36601, 13963, 10174, 879, 445
h90-200m-148.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0978, 37308, 36827, 14332, 10214, 836, 483
h90-200m-149.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0979, 37176, 36438, 14497, 10522, 868, 499
h90-200m-150.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.104, 37412, 36755, 14407, 10154, 839, 433
h90-200m-151.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0925, 37551, 37208, 13866, 10107, 865, 403
h90-200m-152.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.103, 37414, 37147, 14368, 9853, 779, 439
h90-200m-153.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0865, 37961, 37042, 13604, 10224, 746, 423
h90-200m-154.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0959, 37909, 36657, 13859, 10271, 845, 459
h90-200m-155.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0969, 38050, 36930, 13726, 10034, 827, 433
h90-200m-156.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.102, 37734, 36727, 14045, 10155, 900, 439
h90-200m-157.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.098, 37745, 36985, 13968, 10064, 825, 413
h90-200m-158.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0998, 37025, 36884, 14521, 10220, 881, 469
h90-200m-159.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0981, 37633, 36847, 14082, 10178, 833, 427
h90-200m-160.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.106, 37917, 36580, 14064, 10163, 879, 397
h90-200m-161.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.099, 37477, 36766, 14253, 10267, 822, 415
h90-200m-162.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0942, 37902, 36728, 13875, 10211, 795, 489
h90-200m-163.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.103, 38105, 37113, 13774, 9798, 837, 373
h90-200m-164.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.099, 37846, 36293, 14074, 10505, 843, 439
h90-200m-165.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.1, 37705, 36865, 14014, 10089, 887, 440
h90-200m-166.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0875, 37554, 37196, 13815, 10173, 815, 447
h90-200m-167.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0872, 37452, 37224, 13833, 10237, 844, 410
h90-200m-168.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0999, 37457, 36761, 14273, 10207, 844, 458
h90-200m-169.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.099, 37994, 37073, 13775, 9935, 828, 395
h90-200m-170.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0985, 37714, 36827, 14043, 10098, 838, 480
h90-200m-171.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.107, 37464, 36717, 14479, 10024, 836, 480
h90-200m-172.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0948, 37052, 36999, 14351, 10249, 879, 470
h90-200m-173.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0896, 37655, 37215, 13742, 10146, 842, 400
h90-200m-174.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0985, 37652, 36901, 14051, 10121, 844, 431
h90-200m-175.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0831, 37154, 37592, 13875, 10102, 839, 438
h90-200m-176.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.108, 37592, 36573, 14426, 10136, 839, 434
h90-200m-177.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0941, 37743, 36845, 13921, 10246, 817, 428
h90-200m-178.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.101, 37650, 36855, 14082, 10133, 869, 411
h90-200m-179.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0982, 37523, 36840, 14191, 10208, 814, 424
h90-200m-180.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0973, 37684, 36719, 14061, 10277, 829, 430
h90-200m-181.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0976, 37500, 36547, 14228, 10430, 849, 446
h90-200m-182.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.106, 37422, 36575, 14465, 10253, 861, 424
h90-200m-183.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.106, 37564, 36794, 14293, 10098, 862, 389
h90-200m-184.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.104, 37455, 36510, 14402, 10305, 867, 461
h90-200m-185.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0943, 38051, 37270, 13634, 9863, 775, 407
h90-200m-186.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.101, 37967, 37204, 13781, 9758, 855, 435
h90-200m-187.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.102, 37493, 36729, 14259, 10180, 881, 458
h90-200m-188.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0999, 38094, 37071, 13749, 9844, 814, 428
h90-200m-189.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.104, 37724, 36770, 14155, 10064, 862, 425
h90-200m-190.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0975, 37468, 36633, 14265, 10324, 828, 482
h90-200m-191.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.105, 37965, 36418, 14102, 10245, 846, 424
h90-200m-192.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0967, 37731, 37153, 13902, 9940, 831, 443
h90-200m-193.w, /home/todd/src/backgammon/nets/drc.w, 100000, 0.0952, 37542, 37139, 13991, 10073, 841, 414
