white,black,trials,equity,sw,sl,gw,gl,bw,bl
h60-50m-b-49.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.066, 37323, 37899, 13336, 10225, 768, 449
h60-50m-b-50.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0613, 37902, 38076, 12739, 10119, 759, 405
h60-50m-b-51.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0648, 38011, 37257, 12888, 10512, 829, 503
h60-50m-b-52.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0606, 37304, 37574, 13249, 10607, 808, 458
h60-50m-b-53.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0667, 37279, 37856, 13350, 10226, 811, 478
h60-50m-b-54.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0673, 37762, 38131, 13006, 9927, 744, 430
h60-50m-b-55.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0738, 37912, 37260, 13270, 10318, 758, 482
h60-50m-b-56.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0625, 37769, 37798, 12944, 10264, 766, 459
h60-50m-b-57.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0757, 37338, 37731, 13527, 10102, 837, 465
h60-50m-b-58.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0634, 38175, 37573, 12715, 10294, 771, 472
h60-50m-b-59.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0614, 37990, 37451, 12863, 10461, 751, 484
h60-50m-b-60.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0663, 38005, 37665, 12913, 10216, 750, 451
h60-50m-b-61.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0727, 38194, 37360, 12934, 10228, 813, 471
h60-50m-b-62.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0662, 38110, 37559, 12854, 10242, 759, 476
h60-50m-b-63.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0775, 38248, 37593, 12942, 9951, 819, 447
h60-50m-b-64.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0669, 37810, 37681, 12953, 10269, 843, 444
h60-50m-b-65.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0677, 37957, 37539, 12930, 10301, 819, 454
h60-50m-b-66.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0627, 37655, 37639, 12987, 10406, 838, 475
h60-50m-b-67.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0752, 37868, 37703, 13200, 9997, 775, 457
h60-50m-b-68.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0707, 37669, 37652, 13254, 10173, 775, 477
h60-50m-b-69.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0637, 37215, 37895, 13276, 10303, 839, 472
h60-50m-b-70.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0776, 38072, 37481, 13120, 10079, 806, 442
h60-50m-b-71.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.066, 37768, 37881, 13029, 10090, 756, 476
h60-50m-b-72.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0713, 38261, 37643, 12814, 10073, 776, 433
h60-50m-b-73.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0776, 37879, 37739, 13207, 9958, 795, 422
h60-50m-b-74.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.076, 37689, 37293, 13444, 10318, 786, 470
h60-50m-b-75.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0636, 37589, 37909, 13088, 10173, 763, 478
h60-50m-b-76.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0727, 37942, 37574, 13162, 10165, 729, 428
h60-50m-b-77.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0692, 37608, 37841, 13249, 10040, 754, 508
h60-50m-b-78.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0719, 37675, 37399, 13320, 10341, 792, 473
h60-50m-b-79.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0738, 38024, 37477, 13144, 10147, 744, 464
h60-50m-b-80.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0708, 37781, 37805, 13115, 10071, 783, 445
h60-50m-b-81.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0777, 37990, 37502, 13185, 10071, 801, 451
h60-50m-b-82.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0715, 37784, 37899, 13085, 9962, 805, 465
h60-50m-b-83.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0699, 37199, 37787, 13526, 10211, 796, 481
h60-50m-b-84.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0708, 38168, 37536, 13000, 10127, 701, 468
h60-50m-b-85.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.073, 37842, 37694, 13148, 10052, 792, 472
h60-50m-b-86.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0678, 37950, 37777, 12901, 10065, 809, 498
h60-50m-b-87.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0731, 37584, 37407, 13409, 10345, 795, 460
h60-50m-b-88.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0731, 37776, 37727, 13219, 10087, 762, 429
h60-50m-b-89.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0795, 38057, 37611, 13178, 9902, 784, 468
h60-50m-b-90.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0771, 37999, 37392, 13190, 10135, 808, 476
h60-50m-b-91.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0741, 37840, 37665, 13143, 10058, 824, 470
h60-50m-b-92.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0663, 37820, 37577, 13027, 10371, 782, 423
h60-50m-b-93.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0663, 37601, 37757, 13157, 10195, 788, 502
h60-50m-b-94.w, /Users/todd/src/backgammon/nets/drc.w, 100000, 0.0671, 37547, 37673, 13257, 10301, 765, 457
